"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"ADVANCED MATERIALS","0935-9648","1521-4095","SCIE","29.1","26.8","2.3","Q1@CHEMISTRY, MULTIDISCIPLINARY | Q1@CHEMISTRY, PHYSICAL | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@NANOSCIENCE & NANOTECHNOLOGY | Q1@PHYSICS, APPLIED | Q1@PHYSICS, CONDENSED MATTER","材料科学","1 [15/495]","是","1 [6/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合 | 1 [12/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [4/139]@NANOSCIENCE & NANOTECHNOLOGY 纳米科技 | 1 [6/178]@PHYSICS, APPLIED 物理：应用 | 1 [3/78]@PHYSICS, CONDENSED MATTER 物理：凝聚态物理"
"Military Medical Research","2095-7467","2054-9369","SCIE","29","22.9","6.1","Q1@MEDICINE, GENERAL & INTERNAL","医学","1 [168/5603]","是","1 [11/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"NATURE REVIEWS NEUROSCIENCE","1471-003X","1471-0048","SCIE","29","26.7","2.3","Q1@NEUROSCIENCES","医学","1 [11/5603]","是","1 [1/309]@NEUROSCIENCES 神经科学"
"Annual Review of Condensed Matter Physics","1947-5454","1947-5462","SCIE","29","30.7","-1.7","Q1@PHYSICS, CONDENSED MATTER","物理与天体物理","2 [43/406]","","2 [8/78]@PHYSICS, CONDENSED MATTER 物理：凝聚态物理"
"Cancer Communications","N/A","2523-3548","SCIE","28.4","71.5","-43.1","Q1@ONCOLOGY","医学","1 [147/5603]","是","1 [17/318]@ONCOLOGY 肿瘤学"
"NATURE METHODS","1548-7091","1548-7105","SCIE","28.3","32.1","-3.8","Q1@BIOCHEMICAL RESEARCH METHODS","生物学","1 [17/1091]","是","1 [1/85]@BIOCHEMICAL RESEARCH METHODS 生化研究方法"
"Nature Cancer","N/A","2662-1347","SCIE","28","71.5","-43.5","Q1@ONCOLOGY","医学","1 [32/5603]","是","1 [6/318]@ONCOLOGY 肿瘤学"
"Nature Metabolism","N/A","2522-5812","SCIE","27.5","71.5","-44.0","Q1@ENDOCRINOLOGY & METABOLISM","医学","1 [27/5603]","是","1 [3/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","0370-1573","1873-6270","SCIE","27.5","29.5","-2.0","Q1@PHYSICS, MULTIDISCIPLINARY","物理与天体物理","1 [8/406]","是","1 [3/111]@PHYSICS, MULTIDISCIPLINARY 物理：综合"
"FUNGAL DIVERSITY","1560-2745","1878-9129","SCIE","27","24.8","2.2","Q1@MYCOLOGY","生物学","1 [8/1091]","是","1 [1/32]@MYCOLOGY 真菌学"
"Nature Climate Change","1758-678X","1758-6798","SCIE, SSCI","26.9","27.1","-0.2","Q1@ENVIRONMENTAL SCIENCES | Q1@ENVIRONMENTAL STUDIES | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES","地球科学","1 [3/575]","是","1 [2/357]@ENVIRONMENTAL SCIENCES 环境科学 | 1 [1/183]@ENVIRONMENTAL STUDIES 环境研究 | 1 [1/109]@METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学"
"Opto-Electronic Science","2097-0382","2097-4000","ESCI","26.9","","","Q1@OPTICS","","","",""
"Advanced Powder Materials","N/A","2772-834X","ESCI","26.8","71.5","-44.7","Q1@CHEMISTRY, PHYSICAL | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY","材料科学","1 [6/495]","是","1 [6/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"Lancet Public Health","2468-2667","2468-2667","SCIE, SSCI","26.5","25.2","1.3","Q1@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","1 [24/5603]","是","1 [1/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"NATURE IMMUNOLOGY","1529-2908","1529-2916","SCIE","26.5","27.6","-1.1","Q1@IMMUNOLOGY","医学","1 [34/5603]","是","1 [3/179]@IMMUNOLOGY 免疫学"
"Annual Review of Plant Biology","1543-5008","1545-2123","SCIE","26.4","26.5","-0.1","Q1@PLANT SCIENCES","生物学","1 [7/1091]","是","1 [1/265]@PLANT SCIENCES 植物科学"
"JAMA Internal Medicine","2168-6106","2168-6114","SCIE","26.3","23.3","3.0","Q1@MEDICINE, GENERAL & INTERNAL","医学","1 [47/5603]","是","1 [6/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"Nature Biomedical Engineering","2157-846X","2157-846X","SCIE","26.3","26.6","-0.3","Q1@ENGINEERING, BIOMEDICAL","医学","1 [31/5603]","是","1 [1/120]@ENGINEERING, BIOMEDICAL 工程：生物医学"
"Annual Review of Fluid Mechanics","0066-4189","1545-4479","SCIE","26.1","30.2","-4.1","Q1@MECHANICS | Q1@PHYSICS, FLUIDS & PLASMAS","工程技术","1 [2/1437]","是","1 [1/171]@MECHANICS 力学 | 1 [1/40]@PHYSICS, FLUIDS & PLASMAS 物理：流体与等离子体"
"COORDINATION CHEMISTRY REVIEWS","0010-8545","1873-3840","SCIE","25.6","23.5","2.1","Q1@CHEMISTRY, INORGANIC & NUCLEAR","化学","1 [7/490]","是","1 [1/44]@CHEMISTRY, INORGANIC & NUCLEAR 无机化学与核化学"
"NATURE GENETICS","1061-4036","1546-1718","SCIE","25.5","29","-3.5","Q1@GENETICS & HEREDITY","生物学","1 [4/1091]","是","1 [1/190]@GENETICS & HEREDITY 遗传学"
"Science Robotics","2470-9476","2470-9476","SCIE","25.5","27.5","-2.0","Q1@ROBOTICS","计算机科学","1 [2/758]","是","1 [1/47]@ROBOTICS 机器人学"
"Lancet Digital Health","N/A","2589-7500","SCIE","25.5","71.5","-46.0","Q1@MEDICAL INFORMATICS | Q1@MEDICINE, GENERAL & INTERNAL","医学","1 [45/5603]","是","1 [1/44]@MEDICAL INFORMATICS 医学：信息 | 1 [5/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"Advanced Energy Materials","1614-6832","1614-6840","SCIE","25.5","26","-0.5","Q1@CHEMISTRY, PHYSICAL | Q1@ENERGY & FUELS | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@PHYSICS, APPLIED | Q1@PHYSICS, CONDENSED MATTER","材料科学","1 [20/495]","是","1 [6/171]@ENERGY & FUELS 能源与燃料 | 1 [17/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [8/178]@PHYSICS, APPLIED 物理：应用 | 1 [4/78]@PHYSICS, CONDENSED MATTER 物理：凝聚态物理"
"TRENDS IN CELL BIOLOGY","0962-8924","1879-3088","SCIE","25.3","18.1","7.2","Q1@CELL BIOLOGY","生物学","1 [35/1091]","是","2 [19/203]@CELL BIOLOGY 细胞生物学"
"Journal of the National Cancer Center","2667-0054","2667-0054","ESCI","25.2","9.4","15.8","Q1@ONCOLOGY","医学","3 [2159/5603]","","3 [136/318]@ONCOLOGY 肿瘤学"
"Environmental Chemistry Letters","1610-3653","1610-3661","SCIE","25.2","20.4","4.8","Q1@CHEMISTRY, MULTIDISCIPLINARY | Q1@ENGINEERING, ENVIRONMENTAL | Q1@ENVIRONMENTAL SCIENCES","环境科学与生态学","2 [77/504]","","2 [48/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合 | 2 [67/357]@ENVIRONMENTAL SCIENCES 环境科学 | 3 [15/80]@ENGINEERING, ENVIRONMENTAL 工程：环境"
"International Journal of Extreme Manufacturing","2631-8644","2631-7990","SCIE","25.1","21.3","3.8","Q1@ENGINEERING, MANUFACTURING | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY","工程技术","1 [11/1437]","是","1 [2/70]@ENGINEERING, MANUFACTURING 工程：制造 | 1 [19/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"Nature Aging","N/A","2662-8465","SCIE","25","71.5","-46.5","Q1@CELL BIOLOGY | Q1@GERIATRICS & GERONTOLOGY | Q1@NEUROSCIENCES","医学","1 [104/5603]","是","1 [13/203]@CELL BIOLOGY 细胞生物学 | 1 [1/72]@GERIATRICS & GERONTOLOGY 老年医学 | 1 [10/309]@NEUROSCIENCES 神经科学"
"Annual Review of Biochemistry","0066-4154","1545-4509","SCIE","24.9","20.5","4.4","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY","生物学","1 [26/1091]","是","1 [10/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学"
"Nature Food","N/A","2662-1355","SCIE","24.7","71.5","-46.8","Q1@FOOD SCIENCE & TECHNOLOGY","农林科学","1 [2/904]","是","1 [1/173]@FOOD SCIENCE & TECHNOLOGY 食品科技"
"GUT","0017-5749","1468-3288","SCIE","24.6","25.8","-1.2","Q1@GASTROENTEROLOGY & HEPATOLOGY","医学","1 [49/5603]","是","1 [5/143]@GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学"
"Nature Chemistry","1755-4330","1755-4349","SCIE","24.5","20.2","4.3","Q1@CHEMISTRY, MULTIDISCIPLINARY","化学","1 [4/490]","是","1 [3/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合"
"PROGRESS IN AEROSPACE SCIENCES","0376-0421","1873-1724","SCIE","24.2","16.2","8.0","Q1@ENGINEERING, AEROSPACE","工程技术","1 [4/1437]","是","1 [1/53]@ENGINEERING, AEROSPACE 工程：宇航"
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","0890-6955","1879-2170","SCIE","24.1","18.8","5.3","Q1@ENGINEERING, MANUFACTURING | Q1@ENGINEERING, MECHANICAL","工程技术","1 [5/1437]","是","1 [1/70]@ENGINEERING, MANUFACTURING 工程：制造 | 1 [2/181]@ENGINEERING, MECHANICAL 工程：机械"
"Materials Today","1369-7021","1873-4103","SCIE","24.1","22","2.1","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY","材料科学","1 [19/495]","是","1 [16/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"ANNALS OF THE RHEUMATIC DISEASES","0003-4967","1468-2060","SCIE","24","20.6","3.4","Q1@RHEUMATOLOGY","医学","1 [92/5603]","是","1 [2/55]@RHEUMATOLOGY 风湿病学"
"Light-Science & Applications","2095-5545","2047-7538","SCIE","24","23.4","0.6","Q1@OPTICS","物理与天体物理","1 [12/406]","是","1 [4/119]@OPTICS 光学"
"TRENDS IN PHARMACOLOGICAL SCIENCES","0165-6147","1873-3735","SCIE","24","19.9","4.1","Q1@PHARMACOLOGY & PHARMACY","医学","1 [137/5603]","是","1 [5/350]@PHARMACOLOGY & PHARMACY 药学"
"JAMA Oncology","2374-2437","2374-2445","SCIE","23.9","20.1","3.8","Q1@ONCOLOGY","医学","1 [40/5603]","是","1 [7/318]@ONCOLOGY 肿瘤学"
"BLOOD","0006-4971","1528-0020","SCIE","23.9","23.1","0.8","Q1@HEMATOLOGY","医学","1 [87/5603]","是","1 [4/96]@HEMATOLOGY 血液学"
"Cellular & Molecular Immunology","1672-7681","2042-0226","SCIE","23.9","19.8","4.1","Q1@IMMUNOLOGY","医学","1 [134/5603]","是","1 [8/179]@IMMUNOLOGY 免疫学"
"ENDOCRINE REVIEWS","0163-769X","1945-7189","SCIE","23.9","22","1.9","Q1@ENDOCRINOLOGY & METABOLISM","医学","1 [43/5603]","是","1 [5/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"EUROPEAN RESPIRATORY JOURNAL","0903-1936","1399-3003","SCIE","23.8","21","2.8","Q1@RESPIRATORY SYSTEM","医学","1 [102/5603]","是","1 [4/101]@RESPIRATORY SYSTEM 呼吸系统"
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","0001-8686","1873-3727","SCIE","23.7","19.3","4.4","Q1@CHEMISTRY, PHYSICAL","化学","1 [10/490]","是","1 [2/104]@CHEMISTRY, PHYSICAL 物理化学"
"JAMA Neurology","2168-6149","2168-6157","SCIE","23.6","21.3","2.3","Q1@CLINICAL NEUROLOGY","医学","1 [35/5603]","是","1 [3/278]@CLINICAL NEUROLOGY 临床神经病学"
"Bioactive Materials","N/A","2452-199X","SCIE","23.6","71.5","-47.9","Q1@ENGINEERING, BIOMEDICAL | Q1@MATERIALS SCIENCE, BIOMATERIALS","医学","1 [79/5603]","是","1 [2/120]@ENGINEERING, BIOMEDICAL 工程：生物医学 | 1 [1/52]@MATERIALS SCIENCE, BIOMATERIALS 材料科学：生物材料"
"Computers and Education: Artificial Intelligence","2666-920X","2666-920X","ESCI","23.4","","","Q1@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | Q1@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | Q1@EDUCATION & EDUCATIONAL RESEARCH","","","",""
"Journal of Thoracic Oncology","1556-0864","1556-1380","SCIE","23.3","20.8","2.5","Q1@ONCOLOGY | Q1@RESPIRATORY SYSTEM","医学","1 [95/5603]","是","1 [13/318]@ONCOLOGY 肿瘤学 | 1 [3/101]@RESPIRATORY SYSTEM 呼吸系统"
"Cell Stem Cell","1934-5909","1875-9777","SCIE","23.3","20.4","2.9","Q1@CELL & TISSUE ENGINEERING | Q1@CELL BIOLOGY","医学","1 [29/5603]","是","1 [1/31]@CELL & TISSUE ENGINEERING 细胞与组织工程 | 1 [6/203]@CELL BIOLOGY 细胞生物学"
"Cell Host & Microbe","1931-3128","1934-6069","SCIE","23.2","18.7","4.5","Q1@MICROBIOLOGY | Q1@PARASITOLOGY | Q1@VIROLOGY","医学","1 [53/5603]","是","1 [3/159]@MICROBIOLOGY 微生物学 | 1 [1/45]@PARASITOLOGY 寄生虫学 | 1 [1/41]@VIROLOGY 病毒学"
"Responsive Materials","2834-894X","2834-8966","ESCI","22.9","","","Q1@CHEMISTRY, MULTIDISCIPLINARY | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY","","","",""
"NATURE CELL BIOLOGY","1465-7392","1476-4679","SCIE","22.7","19.1","3.6","Q1@CELL BIOLOGY","生物学","1 [18/1091]","是","1 [8/203]@CELL BIOLOGY 细胞生物学"
"Advanced Fiber Materials","2524-7921","2524-793X","SCIE","22.6","21.3","1.3","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@MATERIALS SCIENCE, TEXTILES","材料科学","1 [21/495]","是","1 [18/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [1/30]@MATERIALS SCIENCE, TEXTILES 材料科学：纺织"
"DIABETES CARE","0149-5992","1935-5548","SCIE","22.6","16.6","6.0","Q1@ENDOCRINOLOGY & METABOLISM","医学","1 [133/5603]","是","1 [6/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"Nature Synthesis","N/A","2731-0582","ESCI","22.6","71.5","-48.9","Q1@CHEMISTRY, MULTIDISCIPLINARY","化学","1 [15/490]","是","1 [10/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合"
"CANCER RESEARCH","0008-5472","1538-7445","SCIE","22.6","16.6","6.0","Q1@ONCOLOGY","医学","1 [200/5603]","是","1 [21/318]@ONCOLOGY 肿瘤学"
"Nano Research Energy","2791-0091","2790-8119","ESCI","22.6","","","Q1@ENERGY & FUELS | Q1@NANOSCIENCE & NANOTECHNOLOGY","材料科学","1 [14/495]","是","1 [5/171]@ENERGY & FUELS 能源与燃料 | 1 [11/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"Lancet Global Health","2214-109X","2214-109X","SCIE, SSCI","22.5","18","4.5","Q1@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","1 [83/5603]","是","1 [5/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Annual Review of Marine Science","1941-1405","1941-0611","SCIE","22.5","18.9","3.6","Q1@GEOCHEMISTRY & GEOPHYSICS | Q1@MARINE & FRESHWATER BIOLOGY | Q1@OCEANOGRAPHY","地球科学","1 [5/575]","是","1 [2/99]@GEOCHEMISTRY & GEOPHYSICS 地球化学与地球物理 | 1 [1/118]@MARINE & FRESHWATER BIOLOGY 海洋与淡水生物学 | 1 [1/66]@OCEANOGRAPHY 海洋学"
"Interdisciplinary Materials","2767-4401","2767-441X","ESCI","22.5","31.6","-9.1","Q1@CHEMISTRY, PHYSICAL | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@PHYSICS, APPLIED","材料科学","1 [16/495]","是","1 [13/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [7/178]@PHYSICS, APPLIED 物理：应用"
"Opto-Electronic Advances","2096-4579","2097-3993","SCIE","22.4","22.4","0.0","Q1@OPTICS","物理与天体物理","1 [19/406]","是","1 [7/119]@OPTICS 光学"
"JACC-Journal of the American College of Cardiology","0735-1097","1558-3597","SCIE","22.3","22.3","0.0","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS","医学","1 [48/5603]","是","1 [3/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"DRUG RESISTANCE UPDATES","1368-7646","1532-2084","SCIE","22","21.7","0.3","Q1@PHARMACOLOGY & PHARMACY","医学","1 [116/5603]","是","1 [3/350]@PHARMACOLOGY & PHARMACY 药学"
"Nature Reviews Psychology","N/A","2731-0574","SSCI","22","71.5","-49.5","Q1@PSYCHOLOGY, MULTIDISCIPLINARY","心理学","1 [3/657]","是","1 [2/219]@PSYCHOLOGY, MULTIDISCIPLINARY 心理学：综合"
"INTENSIVE CARE MEDICINE","0342-4642","1432-1238","SCIE","22","21.2","0.8","Q1@CRITICAL CARE MEDICINE","医学","1 [25/5603]","是","1 [2/56]@CRITICAL CARE MEDICINE 危重病医学"
"Lancet Microbe","N/A","2666-5247","SCIE","21.9","71.5","-49.6","Q1@INFECTIOUS DISEASES | Q1@MICROBIOLOGY","生物学","1 [22/1091]","是","1 [2/134]@INFECTIOUS DISEASES 传染病学 | 1 [5/159]@MICROBIOLOGY 微生物学"
"KIDNEY INTERNATIONAL","0085-2538","1523-1755","SCIE","21.8","12.6","9.2","Q1@UROLOGY & NEPHROLOGY","医学","1 [122/5603]","是","1 [4/126]@UROLOGY & NEPHROLOGY 泌尿学与肾脏学"
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","1073-449X","1535-4970","SCIE","21.7","19.4","2.3","Q1@CRITICAL CARE MEDICINE | Q1@RESPIRATORY SYSTEM","医学","1 [54/5603]","是","1 [3/56]@CRITICAL CARE MEDICINE 危重病医学 | 1 [2/101]@RESPIRATORY SYSTEM 呼吸系统"
"Clinical and Molecular Hepatology","2287-2728","2287-285X","SCIE","21.7","16.9","4.8","Q1@GASTROENTEROLOGY & HEPATOLOGY","医学","1 [141/5603]","是","1 [8/143]@GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学"
"Journal of Extracellular Vesicles","N/A","2001-3078","SCIE","21.7","71.5","-49.8","Q1@CELL BIOLOGY","医学","1 [210/5603]","是","2 [27/203]@CELL BIOLOGY 细胞生物学"
"Trends in Cancer","2405-8033","2405-8025","SCIE","21.6","17.5","4.1","Q1@ONCOLOGY","医学","1 [107/5603]","是","2 [22/318]@ONCOLOGY 肿瘤学"
"Green Energy and Intelligent Transportation","2097-2512","2773-1537","SCIE","21.5","16.4","5.1","Q1@TRANSPORTATION SCIENCE & TECHNOLOGY","","","",""
"Carbon Neutralization","2769-3333","2769-3325","ESCI","21.5","12","9.5","Q1@GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY","","","",""
"Carbon Energy","N/A","2637-9368","SCIE","21.4","71.5","-50.1","Q1@CHEMISTRY, PHYSICAL | Q1@ENERGY & FUELS | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@NANOSCIENCE & NANOTECHNOLOGY","材料科学","1 [38/495]","是","1 [13/171]@ENERGY & FUELS 能源与燃料 | 1 [35/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [11/139]@NANOSCIENCE & NANOTECHNOLOGY 纳米科技"
"TRENDS IN PLANT SCIENCE","1360-1385","1878-4372","SCIE","21.2","20.8","0.4","Q1@PLANT SCIENCES","生物学","1 [23/1091]","是","1 [4/265]@PLANT SCIENCES 植物科学"
"Lancet Psychiatry","2215-0366","2215-0374","SCIE, SSCI","21.1","24.8","-3.7","Q1@PSYCHIATRY","医学","1 [56/5603]","是","1 [2/277]@PSYCHIATRY 精神病学"
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","0927-796X","1879-212X","SCIE","21.1","26.8","-5.7","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@PHYSICS, APPLIED","材料科学","1 [7/495]","是","1 [7/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [4/178]@PHYSICS, APPLIED 物理：应用"
"ADVANCED DRUG DELIVERY REVIEWS","0169-409X","1872-8294","SCIE","21","17.6","3.4","Q1@PHARMACOLOGY & PHARMACY","医学","1 [118/5603]","是","1 [4/350]@PHARMACOLOGY & PHARMACY 药学"
"Cyborg and Bionic Systems","N/A","2692-7632","SCIE","20.9","71.5","-50.6","Q1@ENGINEERING, BIOMEDICAL | Q1@ROBOTICS","计算机科学","1 [9/758]","是","1 [5/120]@ENGINEERING, BIOMEDICAL 工程：生物医学 | 1 [3/47]@ROBOTICS 机器人学"
"Science Bulletin","2095-9273","2095-9281","SCIE","20.7","21.1","-0.4","Q1@MULTIDISCIPLINARY SCIENCES","综合性期刊","1 [10/118]","是","1 [9/131]@MULTIDISCIPLINARY SCIENCES 综合性期刊"
"CLINICAL MICROBIOLOGY REVIEWS","0893-8512","1098-6618","SCIE","20.7","19.3","1.4","Q1@MICROBIOLOGY","医学","1 [66/5603]","是","1 [4/159]@MICROBIOLOGY 微生物学"
"Nature Geoscience","1752-0894","1752-0908","SCIE","20.6","16.1","4.5","Q1@GEOSCIENCES, MULTIDISCIPLINARY","地球科学","1 [4/575]","是","1 [2/258]@GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合"
"Lancet Planetary Health","N/A","2542-5196","SCIE, SSCI","20.5","71.5","-51.0","Q1@ENVIRONMENTAL SCIENCES | Q1@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","1 [76/5603]","是","1 [4/357]@ENVIRONMENTAL SCIENCES 环境科学 | 1 [3/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Lancet Healthy Longevity","2666-7568","2666-7568","SCIE","20.5","14.6","5.9","Q1@GERIATRICS & GERONTOLOGY","医学","1 [113/5603]","是","1 [2/72]@GERIATRICS & GERONTOLOGY 老年医学"
"Nano Materials Science","2096-6482","2589-9651","ESCI","20.5","17.9","2.6","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@NANOSCIENCE & NANOTECHNOLOGY","材料科学","1 [42/495]","是","1 [38/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [12/139]@NANOSCIENCE & NANOTECHNOLOGY 纳米科技"
"Lancet Haematology","2352-3026","N/A","SCIE","20.4","17.7","2.7","Q1@HEMATOLOGY","医学","1 [62/5603]","是","1 [2/96]@HEMATOLOGY 血液学"
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","0162-8828","1939-3539","SCIE","20.4","18.6","1.8","Q1@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | Q1@ENGINEERING, ELECTRICAL & ELECTRONIC","计算机科学","1 [10/758]","是","1 [3/196]@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能 | 1 [3/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气"
"EnergyChem","2589-7780","2589-7780","ESCI","20.4","23.8","-3.4","Q1@CHEMISTRY, MULTIDISCIPLINARY | Q1@ENERGY & FUELS | Q1@ENGINEERING, CHEMICAL | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY","材料科学","1 [31/495]","是","1 [15/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合 | 1 [10/171]@ENERGY & FUELS 能源与燃料 | 1 [4/169]@ENGINEERING, CHEMICAL 工程：化工 | 1 [27/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"NATURE NEUROSCIENCE","1097-6256","1546-1726","SCIE","20.3","20","0.3","Q1@NEUROSCIENCES","医学","1 [28/5603]","是","1 [3/309]@NEUROSCIENCES 神经科学"
"SEMINARS IN CANCER BIOLOGY","1044-579X","1096-3650","SCIE","20.3","15.7","4.6","Q1@ONCOLOGY","医学","2 [353/5603]","是","2 [24/318]@ONCOLOGY 肿瘤学"
"Nature Computational Science","N/A","2662-8457","SCIE","20.3","71.5","-51.2","Q1@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | Q1@COMPUTER SCIENCE, THEORY & METHODS | Q1@MULTIDISCIPLINARY SCIENCES","计算机科学","1 [25/758]","是","1 [8/172]@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用 | 1 [5/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法 | 1 [11/131]@MULTIDISCIPLINARY SCIENCES 综合性期刊"
"Annual Review of Physiology","0066-4278","1545-1585","SCIE","20.3","19.1","1.2","Q1@PHYSIOLOGY","医学","1 [63/5603]","是","1 [2/84]@PHYSIOLOGY 生理学"
"TRENDS IN COGNITIVE SCIENCES","1364-6613","1879-307X","SCIE, SSCI","20.3","17.2","3.1","Q1@BEHAVIORAL SCIENCES | Q1@NEUROSCIENCES | Q1@PSYCHOLOGY, EXPERIMENTAL","心理学","1 [2/657]","是","1 [1/55]@BEHAVIORAL SCIENCES 行为科学 | 1 [2/309]@NEUROSCIENCES 神经科学 | 1 [1/99]@PSYCHOLOGY, EXPERIMENTAL 心理学：实验"
"PHARMACOLOGICAL REVIEWS","0031-6997","1521-0081","SCIE","20.3","17.3","3.0","Q1@PHARMACOLOGY & PHARMACY","医学","1 [74/5603]","是","1 [2/350]@PHARMACOLOGY & PHARMACY 药学"
"HUMAN REPRODUCTION UPDATE","1355-4786","1460-2369","SCIE","20.1","16.1","4.0","Q1@OBSTETRICS & GYNECOLOGY | Q1@REPRODUCTIVE BIOLOGY","医学","1 [41/5603]","是","1 [1/135]@OBSTETRICS & GYNECOLOGY 妇产科学 | 1 [1/39]@REPRODUCTIVE BIOLOGY 生殖生物学"
"Bone Research","2095-4700","2095-6231","SCIE","20.1","15","5.1","Q1@CELL & TISSUE ENGINEERING","医学","1 [110/5603]","是","1 [2/31]@CELL & TISSUE ENGINEERING 细胞与组织工程"
"Radiology-Artificial Intelligence","2638-6100","2638-6100","SCIE","20.1","13.2","6.9","Q1@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | Q1@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","1 [268/5603]","是","1 [13/196]@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能 | 2 [12/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"ASTRONOMY AND ASTROPHYSICS REVIEW","0935-4956","1432-0754","SCIE","20.1","26.5","-6.4","Q1@ASTRONOMY & ASTROPHYSICS","物理与天体物理","1 [9/406]","是","1 [2/84]@ASTRONOMY & ASTROPHYSICS 天文与天体物理"
