"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"Lancet Gastroenterology & Hepatology","N/A","2468-1253","SCIE","39.1","71.5","-32.4","Q1@GASTROENTEROLOGY & HEPATOLOGY","医学","1 [37/5603]","是","1 [3/143]@GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学"
"Nature Reviews Endocrinology","1759-5029","1759-5037","SCIE","39.1","40","-0.9","Q1@ENDOCRINOLOGY & METABOLISM","医学","1 [39/5603]","是","1 [4/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"International Journal of Educational Technology in Higher Education","2365-9440","2365-9440","SSCI","38.7","16.7","22.0","Q1@EDUCATION & EDUCATIONAL RESEARCH","教育学","1 [8/840]","是","1 [6/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Nano-Micro Letters","2311-6706","2150-5551","SCIE","38.5","36.3","2.2","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@NANOSCIENCE & NANOTECHNOLOGY | Q1@PHYSICS, APPLIED","材料科学","1 [12/495]","是","1 [10/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [3/139]@NANOSCIENCE & NANOTECHNOLOGY 纳米科技 | 1 [5/178]@PHYSICS, APPLIED 物理：应用"
"REVIEWS OF GEOPHYSICS","8755-1209","1944-9208","SCIE","38.5","37.3","1.2","Q1@GEOCHEMISTRY & GEOPHYSICS","地球科学","1 [2/575]","是","1 [1/99]@GEOCHEMISTRY & GEOPHYSICS 地球化学与地球物理"
"Nature Photonics","1749-4885","1749-4893","SCIE","38.1","32.9","5.2","Q1@OPTICS | Q1@PHYSICS, APPLIED","物理与天体物理","1 [4/406]","是","1 [2/119]@OPTICS 光学 | 1 [2/178]@PHYSICS, APPLIED 物理：应用"
"NATURE MATERIALS","1476-1122","1476-4660","SCIE","38","38.5","-0.5","Q1@CHEMISTRY, PHYSICAL | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@PHYSICS, APPLIED | Q1@PHYSICS, CONDENSED MATTER","材料科学","1 [2/495]","是","1 [2/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [1/178]@PHYSICS, APPLIED 物理：应用 | 1 [1/78]@PHYSICS, CONDENSED MATTER 物理：凝聚态物理"
"Nature Nanotechnology","1748-3387","1748-3395","SCIE","37.5","34.9","2.6","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@NANOSCIENCE & NANOTECHNOLOGY","材料科学","1 [3/495]","是","1 [3/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [2/139]@NANOSCIENCE & NANOTECHNOLOGY 纳米科技"
"Annual Review of Astronomy and Astrophysics","0066-4146","1545-4282","SCIE","37.3","32.5","4.8","Q1@ASTRONOMY & ASTROPHYSICS","物理与天体物理","1 [10/406]","是","1 [3/84]@ASTRONOMY & ASTROPHYSICS 天文与天体物理"
"Joule","2542-4351","2542-4351","SCIE","37.1","35.4","1.7","Q1@CHEMISTRY, PHYSICAL | Q1@ENERGY & FUELS | Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY","材料科学","1 [11/495]","是","1 [3/171]@ENERGY & FUELS 能源与燃料 | 1 [9/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"Cell Metabolism","1550-4131","1932-7420","SCIE","37","30.9","6.1","Q1@CELL BIOLOGY | Q1@ENDOCRINOLOGY & METABOLISM","生物学","1 [5/1091]","是","1 [5/203]@CELL BIOLOGY 细胞生物学 | 1 [2/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"Foundations and Trends in Machine Learning","1935-8237","1935-8245","ESCI","36.6","25.4","11.2","Q1@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","计算机科学","1 [3/758]","是","1 [1/196]@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能"
"Lancet Diabetes & Endocrinology","2213-8587","2213-8595","SCIE","36.3","41.8","-5.5","Q1@ENDOCRINOLOGY & METABOLISM","医学","1 [14/5603]","是","1 [1/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"Physiological Reviews","0031-9333","1522-1210","SCIE","35.7","28.7","7.0","Q1@PHYSIOLOGY","医学","1 [16/5603]","是","1 [1/84]@PHYSIOLOGY 生理学"
"Nature Reviews Electrical Engineering","N/A","2948-1201","ESCI","34.8","71.5","-36.7","Q1@ENGINEERING, ELECTRICAL & ELECTRONIC","","","",""
"Lancet Respiratory Medicine","2213-2600","N/A","SCIE","34.7","32.8","1.9","Q1@CRITICAL CARE MEDICINE | Q1@RESPIRATORY SYSTEM","医学","1 [13/5603]","是","1 [1/56]@CRITICAL CARE MEDICINE 危重病医学 | 1 [1/101]@RESPIRATORY SYSTEM 呼吸系统"
"Annual Review of Pathology-Mechanisms of Disease","1553-4006","1553-4014","SCIE","34.5","34.5","0.0","Q1@PATHOLOGY","医学","1 [86/5603]","是","1 [1/88]@PATHOLOGY 病理学"
"LANCET ONCOLOGY","1470-2045","1474-5488","SCIE","33.7","35.9","-2.2","Q1@ONCOLOGY","医学","1 [15/5603]","是","1 [4/318]@ONCOLOGY 肿瘤学"
"Nature Reviews Rheumatology","1759-4790","1759-4804","SCIE","33.7","32.7","1.0","Q1@RHEUMATOLOGY","医学","1 [42/5603]","是","1 [1/55]@RHEUMATOLOGY 风湿病学"
"PROGRESS IN POLYMER SCIENCE","0079-6700","1873-1619","SCIE","32.8","26.1","6.7","Q1@POLYMER SCIENCE","化学","1 [5/490]","是","1 [1/94]@POLYMER SCIENCE 高分子科学"
"Molecular Plant","1674-2052","1752-9867","SCIE","32.7","24.1","8.6","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q1@PLANT SCIENCES","生物学","1 [10/1091]","是","1 [3/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 1 [2/265]@PLANT SCIENCES 植物科学"
"Nature Sustainability","2398-9629","2398-9629","SCIE, SSCI","32.1","27.1","5.0","Q1@ENVIRONMENTAL SCIENCES | Q1@ENVIRONMENTAL STUDIES | Q1@GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","环境科学与生态学","1 [1/504]","是","1 [3/357]@ENVIRONMENTAL SCIENCES 环境科学 | 1 [2/183]@ENVIRONMENTAL STUDIES 环境研究 | 1 [1/91]@GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术"
"eLight","2097-1710","2662-8643","SCIE","31.4","32.1","-0.7","Q1@OPTICS","物理与天体物理","1 [6/406]","是","1 [3/119]@OPTICS 光学"
"Nature Reviews Neurology","1759-4758","1759-4766","SCIE","31.2","33.1","-1.9","Q1@CLINICAL NEUROLOGY","医学","1 [19/5603]","是","1 [2/278]@CLINICAL NEUROLOGY 临床神经病学"
"CELL RESEARCH","1001-0602","1748-7838","SCIE","31.1","25.9","5.2","Q1@CELL BIOLOGY","生物学","1 [13/1091]","是","1 [7/203]@CELL BIOLOGY 细胞生物学"
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","0268-4012","1873-4707","SSCI","31","27","4.0","Q1@INFORMATION SCIENCE & LIBRARY SCIENCE","管理学","1 [6/1025]","是","1 [1/160]@INFORMATION SCIENCE & LIBRARY SCIENCE 图书情报与档案管理"
"PROCEEDINGS OF THE IEEE","0018-9219","1558-2256","SCIE","30.9","25.9","5.0","Q1@ENGINEERING, ELECTRICAL & ELECTRONIC","计算机科学","1 [6/758]","是","1 [2/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气"
"Nature Water","N/A","2731-6084","SCIE","30.7","71.5","-40.8","Q1@ENVIRONMENTAL SCIENCES | Q1@WATER RESOURCES","","","",""
"Immunity","1074-7613","1097-4180","SCIE","30.6","26.3","4.3","Q1@IMMUNOLOGY","医学","1 [26/5603]","是","1 [2/179]@IMMUNOLOGY 免疫学"
"Energy & Environmental Science","1754-5692","1754-5706","SCIE","30.5","30.8","-0.3","Q1@CHEMISTRY, MULTIDISCIPLINARY | Q1@ENERGY & FUELS | Q1@ENGINEERING, CHEMICAL | Q1@ENVIRONMENTAL SCIENCES","材料科学","1 [13/495]","是","1 [5/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合 | 1 [4/171]@ENERGY & FUELS 能源与燃料 | 1 [2/169]@ENGINEERING, CHEMICAL 工程：化工 | 1 [5/357]@ENVIRONMENTAL SCIENCES 环境科学"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","SCIE","30.4","28","2.4","Q1@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","1 [4/758]","是","1 [1/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法"
"Exploration","2766-8509","2766-2098","ESCI","30.4","22.5","7.9","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@MULTIDISCIPLINARY SCIENCES | Q1@NANOSCIENCE & NANOTECHNOLOGY","","","",""
"Advances in Optics and Photonics","1943-8206","N/A","SCIE","30.1","23.8","6.3","Q1@OPTICS","物理与天体物理","1 [3/406]","是","1 [1/119]@OPTICS 光学"
"Nature Machine Intelligence","N/A","2522-5839","SCIE","29.8","71.5","-41.7","Q1@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | Q1@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","计算机科学","1 [5/758]","是","1 [2/196]@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能 | 1 [1/172]@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用"
"Gastroenterology","0016-5085","1528-0012","SCIE","29.7","25.1","4.6","Q1@GASTROENTEROLOGY & HEPATOLOGY","医学","1 [38/5603]","是","1 [4/143]@GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学"
"Nature Chemical Engineering","N/A","2948-1198","ESCI","29.7","71.5","-41.8","Q1@ENGINEERING, CHEMICAL","","","",""
"Cancer Discovery","2159-8274","2159-8290","SCIE","29.5","33.3","-3.8","Q1@ONCOLOGY","医学","1 [52/5603]","是","1 [9/318]@ONCOLOGY 肿瘤学"
"Lancet Rheumatology","2665-9913","2665-9913","SCIE","29.5","16.4","13.1","Q1@RHEUMATOLOGY","医学","1 [181/5603]","是","1 [4/55]@RHEUMATOLOGY 风湿病学"
"LANCET INFECTIOUS DISEASES","1473-3099","1474-4457","SCIE","29.4","31","-1.6","Q1@INFECTIOUS DISEASES","医学","1 [60/5603]","是","1 [1/134]@INFECTIOUS DISEASES 传染病学"
"Living Reviews in Solar Physics","2367-3648","1614-4961","SCIE","29.4","27.6","1.8","Q1@ASTRONOMY & ASTROPHYSICS","物理与天体物理","1 [1/406]","是","1 [1/84]@ASTRONOMY & ASTROPHYSICS 天文与天体物理"
"EUROPEAN UROLOGY","0302-2838","1873-7560","SCIE","29.1","25.2","3.9","Q1@UROLOGY & NEPHROLOGY","医学","1 [67/5603]","是","1 [3/126]@UROLOGY & NEPHROLOGY 泌尿学与肾脏学"
